"LOCATION","Country","INDICATOR","Indicator","SEX","Sex","AGE","Age","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,33,,
"BEL","Belgium","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,34,,
"BEL","Belgium","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,33,,
"BEL","Belgium","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,32,,
"BEL","Belgium","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,30,,
"BEL","Belgium","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,30,,
"CAN","Canada","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,42.69429,,
"CAN","Canada","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,43.91172,,
"CAN","Canada","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,44.25487,,
"CAN","Canada","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,43.76965,,
"CAN","Canada","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,45.02744,,
"CAN","Canada","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,43.95531,,
"CAN","Canada","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,44.08627,,
"CAN","Canada","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,40.93182,,
"CAN","Canada","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,39.04919,,
"CAN","Canada","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,36.81382,,
"CAN","Canada","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,34.89245,,
"CZE","Czech Republic","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,32,,
"CZE","Czech Republic","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,31,,
"CZE","Czech Republic","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,29,,
"CZE","Czech Republic","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,29,,
"CZE","Czech Republic","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,29,,
"CZE","Czech Republic","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,30,,
"CZE","Czech Republic","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,30,,
"CZE","Czech Republic","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,31,,
"CZE","Czech Republic","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,31,,
"CZE","Czech Republic","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,30,,
"CZE","Czech Republic","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,29,,
"CZE","Czech Republic","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,30,,
"CZE","Czech Republic","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,31,,
"DNK","Denmark","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2003","2003","PC","Percentage","0","Units",,,9,,
"DNK","Denmark","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,6,,
"DNK","Denmark","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,12,,
"DNK","Denmark","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,12,,
"DNK","Denmark","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,17,,
"DNK","Denmark","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,11,,
"DNK","Denmark","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,16,,
"DNK","Denmark","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,17,,
"DNK","Denmark","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,22,,
"DNK","Denmark","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,23,,
"DNK","Denmark","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,-9,,
"DNK","Denmark","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,6,,
"DNK","Denmark","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,1,,
"DNK","Denmark","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,7,,
"FIN","Finland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2003","2003","PC","Percentage","0","Units",,,33,,
"FIN","Finland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,35,,
"FIN","Finland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,42,,
"FIN","Finland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,40,,
"FIN","Finland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,40,,
"FIN","Finland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,37,,
"FIN","Finland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,36,,
"FIN","Finland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,33,,
"FIN","Finland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,35,,
"FIN","Finland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,35,,
"FIN","Finland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,30,,
"FIN","Finland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,26,,
"FIN","Finland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,24,,
"FIN","Finland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,25,,
"FRA","France","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2003","2003","PC","Percentage","0","Units",,,37,,
"FRA","France","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,34,,
"FRA","France","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,32,,
"FRA","France","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,33,,
"FRA","France","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,36,,
"FRA","France","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,36,,
"FRA","France","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,32,,
"FRA","France","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,30,,
"FRA","France","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,30,,
"FRA","France","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,30,,
"FRA","France","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,25,,
"FRA","France","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,24,,
"FRA","France","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,20,,
"FRA","France","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,22,,
"GRC","Greece","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,42,,
"GRC","Greece","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,39,,
"GRC","Greece","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,38,,
"GRC","Greece","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,42,,
"GRC","Greece","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,44,,
"GRC","Greece","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,46,,
"GRC","Greece","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,40,,
"GRC","Greece","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,37,,
"GRC","Greece","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,35,,
"GRC","Greece","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,34,,
"GRC","Greece","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,33,,
"HUN","Hungary","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,29,,
"HUN","Hungary","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,27,,
"HUN","Hungary","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,27,,
"HUN","Hungary","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,24,,
"HUN","Hungary","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,28,,
"HUN","Hungary","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,32,,
"HUN","Hungary","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,34,,
"HUN","Hungary","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,33,,
"HUN","Hungary","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,26,,
"HUN","Hungary","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,22,,
"HUN","Hungary","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,19,,
"HUN","Hungary","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,19,,
"HUN","Hungary","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,18,,
"ISL","Iceland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2003","2003","PC","Percentage","0","Units",,,44,,
"ISL","Iceland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,41,,
"ISL","Iceland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,34,,
"ISL","Iceland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,28,,
"ISL","Iceland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,25,,
"ISL","Iceland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,21,,
"ISL","Iceland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,16,,
"ISL","Iceland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,11,,
"ISL","Iceland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,17,,
"ISL","Iceland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,25,,
"ISL","Iceland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,26,,
"ISL","Iceland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,26,,
"IRL","Ireland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2003","2003","PC","Percentage","0","Units",,,25,,
"IRL","Ireland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,28,,
"IRL","Ireland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,29,,
"IRL","Ireland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,34,,
"IRL","Ireland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,30,,
"IRL","Ireland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,27,,
"IRL","Ireland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,19,,
"IRL","Ireland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,21,,
"IRL","Ireland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,24,,
"IRL","Ireland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,29,,
"IRL","Ireland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,32,,
"IRL","Ireland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,36,,
"IRL","Ireland","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,37,,
"ITA","Italy","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,48,,
"ITA","Italy","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,48,,
"ITA","Italy","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,47,,
"ITA","Italy","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,49,,
"ITA","Italy","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,53,,
"ITA","Italy","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,55,,
"ITA","Italy","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,56,,
"ITA","Italy","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,53,,
"ITA","Italy","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,53,,
"ITA","Italy","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,49,,
"ITA","Italy","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,47,,
"LUX","Luxembourg","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2003","2003","PC","Percentage","0","Units",,,46,,
"LUX","Luxembourg","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,45,,
"LUX","Luxembourg","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,37,,
"LUX","Luxembourg","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,43,,
"LUX","Luxembourg","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,46,,
"LUX","Luxembourg","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,44,,
"LUX","Luxembourg","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,37,,
"LUX","Luxembourg","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,26,,
"LUX","Luxembourg","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,23,,
"LUX","Luxembourg","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,16,,
"LUX","Luxembourg","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,11,,
"LUX","Luxembourg","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,5,,
"LUX","Luxembourg","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,8,,
"LUX","Luxembourg","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,9,,
"NLD","Netherlands","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,37,,
"NLD","Netherlands","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,39,,
"NLD","Netherlands","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,42,,
"NLD","Netherlands","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,44,,
"NLD","Netherlands","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,41,,
"NLD","Netherlands","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,35,,
"NLD","Netherlands","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,30,,
"NLD","Netherlands","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,28,,
"NLD","Netherlands","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,26,,
"NLD","Netherlands","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,22,,
"NLD","Netherlands","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,25,,
"NLD","Netherlands","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,29,,
"NLD","Netherlands","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,33,,
"NZL","New Zealand","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2003","2003","PC","Percentage","0","Units",,,30.03544,,
"NZL","New Zealand","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,34.83597,,
"NZL","New Zealand","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,34.64789,,
"NZL","New Zealand","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,36.85994,,
"NZL","New Zealand","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,30.48856,,
"NZL","New Zealand","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,41.13586,,
"NZL","New Zealand","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,32.43426,,
"NZL","New Zealand","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,32.17144,,
"NZL","New Zealand","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,37.84077,,
"NZL","New Zealand","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,24.97918,,
"NZL","New Zealand","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,34.26377,,
"NZL","New Zealand","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,38.59373,,
"NZL","New Zealand","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,37.70789,,
"NZL","New Zealand","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,33.94572,,
"NOR","Norway","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2003","2003","PC","Percentage","0","Units",,,32,,
"NOR","Norway","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,32,,
"NOR","Norway","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,31,,
"NOR","Norway","ENT7","Gender gap in self-employed earnings","ALL","All","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,28,,
