Series Name,Series Code,Country Name,Country Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Bangladesh,BGD,18.6,18.6,19.7,19.7,19.7,19.8,20,20,20.3,20.3
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Barbados,BRB,10,10,10,10,16.7,16.7,16.7,16.7,16.7,20
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Belarus,BLR,31.8,31.8,31.8,26.6,26.6,26.6,27.3,34.5,34.5,34.5
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Belgium,BEL,38,39.3,38,38,38,39.3,39.3,39.3,38,38
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Belize,BLZ,0,0,0,3.1,3.1,3.1,3.1,3.1,9.4,9.4
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Benin,BEN,10.8,10.8,8.4,8.4,8.4,8.4,7.2,7.2,7.2,7.2
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Bhutan,BTN,8.5,8.5,8.5,8.5,6.4,8.5,8.5,8.5,8.5,8.5
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Bolivia,BOL,22.3,25.4,25.4,25.4,25.4,53.1,53.1,53.1,53.1,53.1
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Bosnia and Herzegovina,BIH,19,16.7,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Botswana,BWA,7.9,7.9,7.9,7.9,7.9,9.5,9.5,9.5,9.5,9.5
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Brazil,BRA,8.8,8.6,8.6,8.6,8.6,9.9,9.9,9.9,10.7,10.7
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,6.5,9.1,9.1
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Bulgaria,BGR,20.8,20.8,20.8,22.9,24.6,20,20.4,20.4,23.8,23.8
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Burkina Faso,BFA,15.3,15.3,15.3,15.7,15.7,18.9,9.4,9.4,11,11
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Burundi,BDI,31.4,32.1,30.5,30.5,30.5,30.5,36.4,36.4,36.4,36.4
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Cabo Verde,CPV,18.1,18.1,20.8,20.8,20.8,20.8,20.8,23.6,23.6,23.6
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Cambodia,KHM,21.1,21.1,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Cameroon,CMR,13.9,13.9,13.9,13.9,31.1,31.1,31.1,31.1,31.1,31.1
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Canada,CAN,22.1,22.1,24.8,24.7,24.7,25.1,26,26,26.3,27
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Caribbean small states,CSS,17.3731376975169,15.2439461883408,15.8497767857143,16.1826966292135,17.0811235955056,17.158690744921,19.7336322869955,20.4116591928251,21.2651006711409,21.9362416107383
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central African Republic,CAF,9.6,9.6,12.5,12.5,..,..,..,7.2,8.6,8.6
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Central Europe and the Baltics,CEB,17.0580042462845,17.0253078556263,18.4212430821626,19.2579250720461,19.2011929247223,19.6976318141198,20.1164426523297,19.8952508960573,22.1234150856085,22.0264692272096
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Chad,TCD,5.2,5.2,12.8,14.9,14.9,14.9,14.9,14.9,12.8,15.3
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Chile,CHL,14.2,14.2,14.2,14.2,14.2,15.8,15.8,15.8,15.8,22.6
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,China,CHN,21.3,21.3,21.3,21.3,23.4,23.4,23.6,23.6,24.2,24.9
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Colombia,COL,8.4,12.7,12.1,12.1,12.1,19.9,19.9,19.9,18.7,18.1
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Comoros,COM,0,3,3,3,3,3,3,3,6.1,6.1
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,"Congo, Dem. Rep.",COD,8.4,8.4,..,8.9,8.9,10.6,8.9,8.9,8.9,8.9
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,"Congo, Rep.",COG,7.3,7.3,7.3,7.4,7.4,7.4,7.4,7.4,11.3,11.3
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Costa Rica,CRI,36.8,38.6,38.6,38.6,38.6,33.3,33.3,33.3,35.1,45.6
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Cote d'Ivoire,CIV,8.9,8.9,11,10.4,10.4,9.4,9.2,9.2,10.6,10.6
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Croatia,HRV,23.5,23.5,23.8,23.8,23.8,23.8,15.2,12.6,18.5,18.5
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Cuba,CUB,43.2,43.2,45.2,45.2,48.9,48.9,48.9,48.9,48.9,53.2
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Cyprus,CYP,12.5,12.5,10.7,10.7,10.7,12.5,12.5,17.9,17.9,17.9
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Czech Republic,CZE,15.5,22,22,22,19.5,19.5,20,20,20,22
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Denmark,DNK,38,38,39.1,39.1,39.1,39.1,37.4,37.4,37.4,37.4
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Djibouti,DJI,13.8,13.8,13.8,13.8,12.7,12.7,12.7,12.7,10.8,26.2
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Dominica,DMA,14.3,12.5,12.5,12.5,12.5,12.9,21.9,21.9,25,25
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Dominican Republic,DOM,19.7,20.8,20.8,20.8,20.8,20.8,20.8,26.8,26.8,26.8
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Early-demographic dividend,EAR,16.9953154446738,17.4233588716699,17.565348567348,19.301409824437,20.3848682998711,21.0709551479935,22.1644491800241,22.3012957122155,22.3837812553155,22.6939159195752
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific,EAS,18.3305479272918,17.7598120300752,17.6856630824373,17.851136782598,18.8202158979392,18.5913170237039,19.2783888458559,19.3918731041456,19.6588272383354,20.2235456369107
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (excluding high income),EAP,18.495312981807,17.8765508139023,17.8682335976929,18.1832879070435,19.2717434869739,19.0210322772572,19.7094508495146,19.8133819589163,20.0664637767221,20.5838044758539
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,East Asia & Pacific (IDA & IBRD),TEA,18.7864832330181,18.084417696812,18.0713601532567,18.4188095238095,19.6223594615994,19.279626569729,20.0517817936159,20.1601124524558,20.4731409727947,21.0434732886783
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Ecuador,ECU,32.3,32.3,32.3,32.3,38.7,41.6,41.6,41.6,38,38
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,"Egypt, Arab Rep.",EGY,1.8,12.7,2,2,..,..,..,14.9,14.9,14.9
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,El Salvador,SLV,19,19,19,26.2,26.2,27.4,32.1,32.1,32.1,31
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Equatorial Guinea,GNQ,10,10,10,10,12.1,24,24,24,24,20
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Eritrea,ERI,22,22,22,22,22,22,22,22,22,22
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Estonia,EST,22.8,22.8,19.8,20.8,20.8,19,23.8,23.8,26.7,26.7
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Eswatini,SWZ,13.6,13.6,13.6,13.6,6.2,6.2,6.2,6.2,6.2,7.2
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Ethiopia,ETH,21.9,27.8,27.8,27.8,27.8,27.8,38.8,38.8,38.8,38.8
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Euro area,EMU,25.4669981498612,25.3270814061055,26.0536664353458,27.4312427678778,29.7672433679354,30.117628057222,30.2158477508651,30.3417610353594,31.9755031228314,31.7342422176778
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Europe & Central Asia,ECS,21.8942851942852,21.9948031924542,22.7058802177858,23.7525524444044,24.6753349518928,25.3484317681585,25.7526788990826,26.1176508941878,27.6204132690882,27.8590675947976
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Europe & Central Asia (excluding high income),ECA,15.0033219087793,15.0780449555672,15.7939346405229,17.3679611650485,17.6040132924335,18.0295905227917,18.0215519463779,18.6343447905478,20.3125430007939,20.7757773713091
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Europe & Central Asia (IDA & IBRD),TEC,15.8200408533818,15.8783735075467,16.8862939585212,18.2262983425414,18.4308423612646,18.8653093012906,18.8874832962138,19.3543021914648,21.0557175398633,21.4471383506084
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,European Union,EUU,24.0258011277678,24.1689347079038,24.8630709961475,25.7243875884594,27.0906547133931,27.7298367973218,28.3813206756945,28.418549063461,30.3879661016949,30.5223665828444
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Fiji,FJI,..,..,..,..,..,14,16,16,16,16
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Finland,FIN,40,40,42.5,42.5,42.5,42.5,41.5,41.5,42,42
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Fragile and conflict affected situations,FCS,12.8482411139612,13.1140149539211,14.6318570613952,15.2688484424221,16.1569008118602,15.1651901070506,17.5320390070922,17.2333220568336,17.698726541555,17.980043638805
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,France,FRA,18.9,18.9,18.9,26.9,26.9,26.2,26.2,26.2,39,39.6
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Gabon,GAB,14.7,14.7,14.2,15.8,15.8,15,14.2,14.2,17.1,17.1
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,"Gambia, The",GMB,7.5,7.5,7.5,7.5,7.5,9.4,9.4,9.4,10.3,10.3
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Georgia,GEO,5.1,6.5,6.6,12,12,12,11.3,..,16,16
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Germany,DEU,32.8,32.8,32.9,32.9,36.5,36.5,36.5,36.5,37,30.7
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Ghana,GHA,8.3,8.3,8.3,..,10.9,10.9,10.9,10.9,12.7,12.7
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Greece,GRC,17.3,17.3,18.7,21,21,21,19.7,19.7,18.3,18.7
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Grenada,GRD,13.3,13.3,13.3,13.3,33.3,33.3,33.3,33.3,33.3,46.7
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Guatemala,GTM,12,12,13.3,13.3,13.3,13.3,13.9,13.9,12.7,12.7
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Guinea,GIN,..,..,..,..,..,21.9,21.9,21.9,21.9,21.9
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Guinea-Bissau,GNB,10,10,10,14,14,13.7,13.7,13.7,13.7,13.7
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Guyana,GUY,30,30,31.3,31.3,31.3,31.3,30.4,30.4,31.9,31.9
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Haiti,HTI,4.1,11.1,4.2,4.2,4.2,4.2,4.2,0,2.5,2.5
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Heavily indebted poor countries (HIPC),HPC,17.7197632058288,18.3232624113475,20.3621315544524,21.4993286542569,21.7969413511507,22.0848109113453,23.8529498525074,23.5775759296055,24.323535988819,24.2100808700502
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,High income,HIC,22.9059731543624,22.9972208912314,23.5497648978025,24.0899299894505,25.074177712322,26.0785100566296,26.4352066280695,26.6288597768074,27.8057755775577,28.146521906226
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Honduras,HND,18,18,19.5,19.5,19.5,25.8,25.8,25.8,25.8,21.1
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Hungary,HUN,11.1,9.1,8.8,8.8,8.8,10.1,10.1,10.1,10.1,12.6
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,IBRD only,IBD,17.3225058562076,17.693066063025,18.0152797224082,19.293380206161,20.1523335407592,21.0528497084457,21.2860964940087,21.7831317980191,22.3480851836167,22.8148707801163
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Iceland,ISL,42.9,42.9,39.7,39.7,39.7,39.7,41.3,47.6,47.6,38.1
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,IDA & IBRD total,IBT,17.2467370266224,17.4152623959464,18.1869782671272,19.2863074204947,20.06547043444,20.4176363702439,21.1147879666546,21.3817079121645,21.9167422851799,22.144144175518
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,IDA blend,IDB,14.0170454545455,13.6706717123936,14.0225592417062,14.6542749173359,18.8240350877193,18.8204036858271,18.6289256198347,18.8025663331883,19.2524696707106,19.2472584856397
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,IDA only,IDX,17.8915564834145,17.7878794821858,19.4411561318206,20.3168723404255,20.215358896667,19.7188610184089,21.4313406177768,21.3135796255285,21.8190414507772,21.6791889117043
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,IDA total,IDA,17.1292155766723,16.9851701558609,18.4351517817862,19.2760006946253,19.9476837397688,19.541856846473,20.8861301514767,20.8416741600589,21.3391607258587,21.2149443429141
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,India,IND,10.8,10.8,11,11,11,11.4,12,12,11.8,11.8
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Indonesia,IDN,17.9,18,18.2,18.6,18.6,16.9,17.1,17.1,19.8,19.8
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,"Iran, Islamic Rep.",IRN,2.8,2.8,2.8,3.1,3.1,3.1,3.1,5.9,5.9,5.9
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Iraq,IRQ,25.5,25.2,25.2,25.2,25.2,25.3,26.5,26.5,25.3,25.5
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Ireland,IRL,13.9,13.9,15.1,15.1,15.7,15.7,16.3,22.2,22.2,22.2
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Isle of Man,IMN,8.41144219308701,9.01106593087424,8.93842010771993,..,..,..,..,..,..,..
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Israel,ISR,18.3,19.2,20,20,22.5,22.5,26.7,26.7,27.5,27.5
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Italy,ITA,21.3,21.3,21.6,21.4,31.4,31.4,31,31,31,35.7
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Jamaica,JAM,13.3,13.3,12.7,12.7,12.7,12.7,12.7,17.5,17.5,17.5
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Japan,JPN,11.3,11.3,10.8,7.9,8.1,8.1,9.5,9.5,9.3,10.1
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Jordan,JOR,6.4,10.8,10.8,10.8,12.2,12,12,15.4,15.4,15.4
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Kazakhstan,KAZ,17.8,17.8,17.8,24.3,24.3,25.2,26.2,27.1,27.1,27.1
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Kenya,KEN,9.8,9.8,9.8,9.8,18.6,19.1,19.7,19.7,21.8,21.8
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Kiribati,KIR,4.3,4.3,8.7,8.7,8.7,8.7,8.7,6.5,6.5,6.5
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,"Korea, Dem. People's Rep.",PRK,15.6,15.6,15.6,15.6,15.6,16.3,16.3,16.3,16.3,16.3
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,"Korea, Rep.",KOR,14.7,14.7,14.7,15.7,15.7,16.3,16.3,17,17,17
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Kuwait,KWT,7.7,7.7,7.7,6.2,6.2,1.5,1.5,1.5,3.1,3.1
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Kyrgyz Republic,KGZ,25.6,23.3,23.3,23.3,23.3,23.3,19.2,19.2,19.2,19.2
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Lao PDR,LAO,25.2,25.2,25,25,25,25,25,27.5,27.5,27.5
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Late-demographic dividend,LTE,17.2146698337292,17.2486263736264,17.6592526523331,18.2834745368215,18.9057296995628,19.1304020579268,19.361890651883,19.9113519790961,20.6260501778333,21.1012378594553
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Latin America & Caribbean,LCN,22.7116245831348,23.0228848484848,23.0389486260454,24.491487326638,24.8102169525732,27.5397527341893,27.9083501513623,28.7077086781745,29.2849859022556,30.6818605735603
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Latin America & Caribbean (excluding high income),LAC,22.69514978602,23.0140483823958,23.2023488971641,24.9221999427098,26.1582152974504,28.1365439093484,29.205805720759,29.5849957615145,29.941935483871,31.4326690990738
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Latin America & Caribbean (IDA & IBRD),TLA,19.3619128949616,19.6640697674419,19.5948412698413,21.2966553287982,20.5293239951279,24.0790697674419,24.2689707673569,25.4932375316991,26.2125594405594,27.1948271092669
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Latvia,LVA,22,20,23,23,23,18,18,18,16,16
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Least developed countries: UN classification,LDC,19.4060058078142,19.2638725682204,20.8288506453596,21.3984497944803,21.6041968850315,21.1018345235164,23.0443219932918,22.7911103503366,23.1773389008013,22.939969640355
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Lebanon,LBN,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,4.7
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Lesotho,LSO,24.2,24.2,24.2,26.7,26.7,26.7,25,25,22.9,22.1
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Liberia,LBR,12.5,12.5,9.6,11,11,11,11,11,12.3,12.3
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Libya,LBY,7.7,7.7,..,16.5,16.5,16,16,16,16,16
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Liechtenstein,LIE,24,24,24,24,20,20,20,20,12,12
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Lithuania,LTU,19.1,19.1,19.1,24.5,24.1,24.1,23.4,21.3,21.3,21.3
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Low & middle income,LMY,17.5523997226176,17.7110942304214,18.4336140805529,19.5288643031353,20.5705976236921,20.7367236560311,21.5639942580298,21.7249764865712,22.1689235029422,22.4530986406413
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Low income,LIC,18.4714876033058,18.4890675241158,20.6442066210046,21.2641458106638,22.0715477167077,21.440676993689,22.7360934476085,22.6456941301744,23.1809022754176,23.050150808884
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Lower middle income,LMC,15.2313305736251,15.8251209904333,15.4954817939609,16.0715888485947,17.34075480382,18.132277318641,18.8461892171514,19.0640245875121,19.3690851401375,19.1556495085086
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Luxembourg,LUX,20,20,25,21.7,23.3,28.3,28.3,28.3,28.3,28.3
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Madagascar,MDG,..,12.5,12.5,17.5,17.5,20.5,20.5,20.5,19.2,19.2
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Malawi,MWI,20.8,20.8,22.3,22.3,22.3,16.7,16.7,16.7,16.7,16.7
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Malaysia,MYS,9.9,9.9,10.4,10.4,10.4,10.4,10.4,10.4,10.4,13.9
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Maldives,MDV,6.5,6.5,6.5,6.5,6.5,5.9,5.9,5.9,5.9,5.9
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Mali,MLI,10.2,10.2,10.2,10.2,10.2,9.5,8.8,8.8,8.8,8.8
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Malta,MLT,8.7,8.7,8.7,8.7,14.3,14.3,12.9,12.9,11.9,11.9
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Marshall Islands,MHL,3,3,3,3,3,3,9.1,9.1,9.1,9.1
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Mauritania,MRT,22.1,22.1,22.1,22.1,22.1,25.2,25.2,25.2,25.2,20.3
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Mauritius,MUS,17.1,18.8,18.8,18.8,18.8,18.8,11.6,11.6,11.6,11.6
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Mexico,MEX,27.6,26.2,26.2,36.8,36.8,37.4,42.4,42.4,42.6,48.2
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,"Micronesia, Fed. Sts.",FSM,0,0,0,0,0,0,0,0,0,0
